channel,elapsed_days,cumulative_deformation_mm
SL2,0.6726457399103154,0.0
SL2,1.681614349775785,34.53237410071942
SL2,2.5784753363228674,54.67625899280576
SL2,2.4663677130044874,69.06474820143885
SL2,4.4843049327354265,77.6978417266187
SL2,6.390134529147986,117.98561151079137
SL2,6.502242152466366,132.37410071942446
SL2,7.286995515695068,138.1294964028777
SL2,9.080717488789233,184.1726618705036
SL2,9.192825112107627,198.5611510791367
SL2,10.20179372197309,207.19424460431654
SL2,10.20179372197309,221.58273381294964
SL2,12.107623318385649,270.50359712230215
SL2,12.892376681614351,299.28057553956836
SL2,14.125560538116588,313.66906474820144
SL2,16.031390134529147,336.6906474820144
SL2,18.16143497757848,345.32374100719426
SL2,20.852017937219728,348.2014388489209
SL2,23.54260089686099,362.58992805755395
SL2,26.34529147982063,368.3453237410072
SL2,29.260089686098652,371.2230215827338
SL2,30.26905829596413,371.2230215827338
SL2,33.295964125560545,374.1007194244604
SL2,35.31390134529147,374.1007194244604
SL2,38.228699551569505,376.978417266187
SL2,43.72197309417041,374.1007194244604
SL2,49.43946188340807,374.1007194244604
SL3,7.399103139013448,0.0
SL3,9.192825112107627,23.02158273381295
SL3,9.304932735426007,51.798561151079134
SL3,10.20179372197309,60.431654676258994
SL3,11.883408071748875,120.86330935251799
SL3,13.228699551569505,135.25179856115108
SL3,13.116591928251125,149.64028776978418
SL3,16.14349775784754,172.66187050359713
SL3,19.058295964125563,195.68345323741008
SL3,21.18834080717488,210.07194244604315
SL3,21.860986547085204,230.2158273381295
SL3,23.76681614349775,227.33812949640287
SL3,26.23318385650225,235.97122302158274
SL3,28.251121076233176,238.84892086330936
SL3,29.372197309417032,244.6043165467626
SL3,33.295964125560545,241.72661870503597
SL3,38.116591928251125,244.6043165467626
SL3,43.72197309417041,250.35971223021582
SL3,49.43946188340807,250.35971223021582
SL1,0.5605381165919283,11.510791366906474
SL1,1.5695067264573979,25.899280575539567
SL1,2.5784753363228674,25.899280575539567
SL1,2.4663677130044874,48.92086330935252
SL1,3.475336322869957,71.94244604316546
SL1,5.381165919282509,86.33093525179856
SL1,6.390134529147986,103.59712230215827
SL1,8.18385650224215,129.49640287769785
SL1,10.08968609865471,149.64028776978418
SL1,12.107623318385649,166.9064748201439
SL1,13.116591928251125,164.02877697841726
SL1,14.125560538116588,172.66187050359713
SL1,16.031390134529147,181.29496402877697
SL1,19.058295964125563,187.0503597122302
SL1,21.748878923766824,187.0503597122302
SL1,24.43946188340807,195.68345323741008
SL1,26.569506726457405,192.80575539568346
SL1,28.47533632286995,187.0503597122302
SL1,29.372197309417032,198.5611510791367
SL1,33.18385650224215,201.4388489208633
SL1,35.08968609865471,204.31654676258992
SL1,37.89237668161435,201.4388489208633
SL1,43.72197309417041,204.31654676258992
SL1,49.43946188340807,204.31654676258992
GD,0.5605381165919283,0.0
GD,1.5695067264573979,8.633093525179856
GD,2.5784753363228674,17.26618705035971
GD,4.3721973094170465,23.02158273381295
GD,6.390134529147986,28.776978417266186
GD,8.295964125560545,46.0431654676259
GD,10.08968609865471,51.798561151079134
GD,11.883408071748875,63.30935251798561
GD,14.125560538116588,71.94244604316546
GD,15.919282511210767,83.45323741007195
GD,17.937219730941706,92.0863309352518
GD,20.852017937219728,92.0863309352518
GD,21.63677130044843,103.59712230215827
GD,23.65470852017937,109.35251798561151
GD,26.569506726457405,120.86330935251799
GD,29.484304932735427,126.61870503597122
GD,30.38116591928251,135.25179856115108
GD,35.08968609865471,132.37410071942446
GD,38.00448430493273,132.37410071942446
GD,43.72197309417041,132.37410071942446
GD,49.55156950672645,132.37410071942446
